#NAME?,RF US GVT BMK BID YLD 3M - RED. YIELD,,,,#NAME?,RF US GVT BMK BID YLD 3M - RED. YIELD,,Dato,TRSY 10
,,,,,4/1/16,0.233,,,
,,,,,5/1/16,0.198,,,
,,,,,6/1/16,0.309,,,
,,,,,7/1/16,0.259,,,
,,,,,8/1/16,0.254,,,
,,,,,9/1/16,0.335,,,
,,,,,10/1/16,0.307,,,
,,,,,11/1/16,0.36,,,
,,,,,12/1/16,0.475,,,
,,,,,1/1/17,0.502,,,
,,,,,2/1/17,0.518,,,
,,,,,3/1/17,0.635,,,
,,,,,4/1/17,0.764,,,
,,,,,5/1/17,0.808,,,
,,,,,6/1/17,0.973,,,
,,,,,7/1/17,1.026,,,
,,,,,8/1/17,1.085,,,
,,,,,9/1/17,1.011,,,
,,,,,10/1/17,1.044,,,
,,,,,11/1/17,1.167,,,
,,,,,12/1/17,1.266,,,
,,,,,1/1/18,1.391,,,
,,,,,2/1/18,1.488,,,
,,,,,3/1/18,1.629,,,
,,,,,4/1/18,1.723,,,
,,,,,5/1/18,1.854,,,
,,,,,6/1/18,1.91,,,
,,,,,7/1/18,1.935,,,
,,,,,8/1/18,2.025,,,
,,,,,9/1/18,2.104,,,
,,,,,10/1/18,2.206,,,
,,,,,11/1/18,2.325,,,
,,,,,12/1/18,2.342,,,
,,,,,1/1/19,2.381,,,
,,,,,2/1/19,2.396,,,
,,,,,3/1/19,2.435,,,
,,,,,4/1/19,2.392,,,
,,,,,5/1/19,2.427,,,
,,,,,6/1/19,2.341,,,
,,,,,7/1/19,2.125,,,
,,,,,8/1/19,2.085,,,
,,,,,9/1/19,1.987,,,
,,,,,10/1/19,1.826,,,
,,,,,11/1/19,1.533,,,
,,,,,12/1/19,1.579,,,
,,,,,1/1/20,1.556,,,
,,,,,2/1/20,1.579,,,
,,,,,3/1/20,1.169,,,
,,,,,4/1/20,0.074,,,
,,,,,5/1/20,0.109,,,
,,,,,6/1/20,0.139,,,
,,,,,7/1/20,0.142,,,
,,,,,8/1/20,0.089,,,
,,,,,9/1/20,0.106,,,
,,,,,10/1/20,0.091,,,
,,,,,11/1/20,0.091,,,
,,,,,12/1/20,0.086,,,
,,,,,1/1/21,0.079,,,
,,,,,2/1/21,0.056,,,
,,,,,3/1/21,0.035,,,
