Date,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,Date,US BENCHMARK 10 YEAR DS GOVT. INDEX - TOT RETURN IND,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,RF US GVT BMK BID YLD 3M - RED. YIELD,US BENCHMARK 5 YEAR DS GOVT. INDEX - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - MIDDLE RATE,US DOLLAR 3M DEPOSIT (FT/RFV) - RETURN IND. (OFCL),,Date,US NCREIF: NPI RETURNS - NATIONAL NADJ,US NCREIF: TBI RETURNS - NATIONAL(DISC.) NADJ,US NCREIF PROPERTY INDEX: VALUE OF RETURN - NATIONAL NADJ,US NCREIF: FUND INDEX OPEN-END DIVERSIFIED CORE RETURNS NADJ,,,,,,,,,,,,,,,,,,,,,,,
Q1 2008,1.36,3/31/08,374.596,1.36,3.247,357.152,559.22,4.78,189.2693,,Q4 2001,0.68,-2.55,879.0649,0.38,,,,,,,,,,,,,,,,,,,,,,,
Q2 2008,1.87,6/30/08,392.677,1.87,1.336,373.909,563.76,2.81,190.7934,,Q1 2002,1.51,4.58,892.3388,0.52,,,,,,,,,,,,,,,,,,,,,,,
Q3 2008,0.9,9/30/08,382.186,0.9,1.864,365.538,567.72,2.855,192.1192,,Q2 2002,1.61,0.56,906.7054,1.27,,,,,,,,,,,,,,,,,,,,,,,
Q4 2008,0.11,12/31/08,393.618,0.11,0.798,377.477,572.05,4.38,193.539,,Q3 2002,1.79,6.2,922.9354,1.67,,,,,,,,,,,,,,,,,,,,,,,
Q1 2009,0.21,3/31/09,454.004,0.21,0.127,408.048,576.31,1.56,194.9137,,Q4 2002,1.67,0.37,938.3485,1.97,,,,,,,,,,,,,,,,,,,,,,,
Q2 2009,0.19,6/30/09,443.472,0.19,0.208,410.316,578.16,1.37,195.5062,,Q1 2003,1.88,1.13,955.9894,1.84,,,,,,,,,,,,,,,,,,,,,,,
Q3 2009,0.14,9/30/09,414.472,0.14,0.172,397.523,579.6,0.83,195.9145,,Q2 2003,2.09,3.3,975.9696,2.46,,,,,,,,,,,,,,,,,,,,,,,
Q4 2009,0.06,12/31/09,430.725,0.06,0.101,405.559,580.53,0.35,196.173,,Q3 2003,1.97,1.06,995.1962,2.26,,,,,,,,,,,,,,,,,,,,,,,
Q1 2010,0.16,3/31/10,411.585,0.16,0.061,400.903,581.04,0.345,196.3027,,Q4 2003,2.76,2.74,1022.6636,2.41,,,,,,,,,,,,,,,,,,,,,,,
Q2 2010,0.18,6/30/10,413.991,0.18,0.162,406.047,581.54,0.36,196.4251,,Q1 2004,2.56,0.58,1048.8438,2.33,,,,,,,,,,,,,,,,,,,,,,,
